Feature,ADSRDisplay,AnalogSlider,Bevel,ConsolePanel,Dial,GridPad,GridView,IconButton,InputDialog,LEDMeter,ListView,Markup,Menu,MessageDialog,MultiDial,MultiSlider,Panel,RangeSlider,Selector,SliderSelector,Switch,TagSelector,TimeGraphPanel,XYPad
[OPT] attack,✓,,,,,,,,,,,,,,,,,,,,,,,
[OPT] autoAdjustY,,,,,,,,,,,,,,,,,,,,,,,✓,
[OPT] buttons,,,,,,,,,✓,,,,,✓,,,,,,,,,,
[OPT] cellGap,,,,,,✓,,,,,,,,,,,,,,,,,,
[OPT] cellSize,,,,,,✓,,,,,,,,,,,,,,,,,,
[OPT] cols,,,,,,✓,,,,,,,,,,,,,,,,,,
[OPT] crosshairColor,,,,,,,,,,,,,,,,,,,,,,,,✓
[OPT] decay,✓,,,,,,,,,,,,,,,,,,,,,,,
[OPT] decimals,,✓,,,✓,,,,,✓,,,,,✓,✓,,✓,✓,✓,,,,
[OPT] dialStyle,,,,,✓,,,,,,,,,,✓,,,,,,,,,
[OPT] digitGap,,,,,,,,,,✓,,,,,,,,,,,,,,
[OPT] digitH,,,,,,,,,,✓,,,,,,,,,,,,,,
[OPT] digitW,,,,,,,,,,✓,,,,,,,,,,,,,,
[OPT] envelopeColor,✓,,,,,,,,,,,,,,,,,,,,,,,
[OPT] fontSize,,,,,,,✓,,,,✓,✓,,,,,,,,,,,,
[OPT] gap,,,,,,,,,,,,,,,✓,✓,,,,,,,,
[OPT] grid,,,,,,,,,,,,,,,,,,,,,,,✓,
[OPT] groupGap,,,,,,✓,,,,,,,,,,,,,,,,,,
[OPT] hGroup,,,,,,✓,,,,,,,,,,,,,,,,,,
[OPT] height,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
[OPT] horizontal,,✓,,,,,,,,,,,,,,✓,,✓,,,,,,
[OPT] icon,,,,,,,,✓,,,,,,,,,,,,,,,,
[OPT] iconSize,,,,,,,,✓,,,,,,,,,,,,,,,,
[OPT] inputPlaceholder,,,,,,,,,✓,,,,,,,,,,,,,,,
[OPT] inputValue,,,,,,,,,✓,,,,,,,,,,,,,,,
